event_timestamp,symbol,impact_score,event_type,direction_hint
2024-02-15T14:00:00Z,BTCUSDT,8,protocol_upgrade,bullish
2024-03-10T09:00:00Z,BTCUSDT,7,partnership,bullish
2024-04-20T00:00:00Z,BTCUSDT,9,listing,bullish
2024-05-08T11:00:00Z,ETHUSDT,8,protocol_upgrade,bullish
2024-06-05T16:00:00Z,BTCUSDT,7,airdrop,neutral
2024-07-03T08:00:00Z,SOLUSDT,9,listing,bullish
2024-08-12T18:00:00Z,BTCUSDT,8,earnings,bearish
2024-08-28T13:00:00Z,ETHUSDT,7,partnership,neutral
2024-09-19T10:00:00Z,SOLUSDT,8,protocol_upgrade,bullish
2024-10-01T12:00:00Z,BTCUSDT,9,protocol_upgrade,bullish
2024-10-22T07:00:00Z,ETHUSDT,8,listing,bullish
2024-11-15T15:00:00Z,BTCUSDT,7,partnership,bullish
2024-12-04T20:00:00Z,SOLUSDT,9,airdrop,bullish
2024-12-18T09:00:00Z,BTCUSDT,8,earnings,bearish
2025-01-08T10:00:00Z,BTCUSDT,8,listing,bullish
2025-02-14T14:00:00Z,ETHUSDT,9,protocol_upgrade,bullish
2025-03-05T14:00:00Z,BTCUSDT,7,protocol_upgrade,neutral
2025-04-17T08:00:00Z,SOLUSDT,8,partnership,bullish
2025-05-20T16:00:00Z,BTCUSDT,9,partnership,bullish
2025-06-11T11:00:00Z,ETHUSDT,7,airdrop,bearish
